concept,count,bucket
central focus composition,2,1-4
central placement,2,1-4
central seated deity,2,1-4
centralized light source,2,1-4
centralized subject,2,1-4
ceramic pot,2,1-4
ceramic vessels,2,1-4
ceremonial banners,2,1-4
ceremonial fan,2,1-4
ceremonial robes,2,1-4
ceremonial scene,2,1-4
cerulean,2,1-4
chair armrest,2,1-4
chair leg,2,1-4
charcoal black ink,2,1-4
cherry blossom motif,2,1-4
cherry blossom tree,2,1-4
chevron pattern,2,1-4
chiaroscuro background,2,1-4
chiaroscuro contrast,2,1-4
chiaroscuro modeling,2,1-4
chiaroscuro shading,2,1-4
chicks,2,1-4
chinese calligraphy inscription,2,1-4
chinese ink and wash painting,2,1-4
chinese seal stamp,2,1-4
chopsticks,2,1-4
chrysanthemum crest,2,1-4
church steeples,2,1-4
churches,2,1-4
circular fan painting,2,1-4
circular motif,2,1-4
circular motifs,2,1-4
circular shape,2,1-4
circular window,2,1-4
circus ring,2,1-4
city gate,2,1-4
city street at night,2,1-4
city walls,2,1-4
cityscape at dusk,2,1-4
classical architectural columns,2,1-4
classical architectural interior,2,1-4
classical building,2,1-4
classical building with columns,2,1-4
classical column capital,2,1-4
classical figurative painting,2,1-4
classical figures,2,1-4
classical hall,2,1-4
classical landscape layout,2,1-4
classical relief motif,2,1-4
classical robes,2,1-4
classical sculpture,2,1-4
classical urn,2,1-4
clay jugs,2,1-4
clay pipe,2,1-4
clay pots,2,1-4
clear outlines,2,1-4
clearing,2,1-4
clerical collar,2,1-4
cliff face,2,1-4
cliffside overlook,2,1-4
climbing roses,2,1-4
climbing vine,2,1-4
cloaks,2,1-4
close-up floral scene,2,1-4
close-up of flora and fauna,2,1-4
cloudy background,2,1-4
cloudy day,2,1-4
clown,2,1-4
cluttered room,2,1-4
coastal cliff,2,1-4
coastal hills,2,1-4
coastal shore,2,1-4
coats of arms,2,1-4
coiled rope,2,1-4
coins,2,1-4
collage style,2,1-4
collared shirt,2,1-4
color block,2,1-4
color blocking,2,1-4
color woodcut,2,1-4
comic strip layout,2,1-4
complementary color scheme,2,1-4
complex multi-figure composition,2,1-4
composite image,2,1-4
composite portrait,2,1-4
concentric arcs,2,1-4
conch shell,2,1-4
confetti,2,1-4
confrontation scene,2,1-4
conical dome,2,1-4
coniferous tree,2,1-4
continuous landscape composition,2,1-4
cool blues,2,1-4
copper jug,2,1-4
coral,2,1-4
coral branch,2,1-4
costume design sketch,2,1-4
costumed figures,2,1-4
couch,2,1-4
countryside scene,2,1-4
covered bridge,2,1-4
covered tureen,2,1-4
cowboy hats,2,1-4
crashing waves,2,1-4
creekside,2,1-4
crenellated wall,2,1-4
crenellations,2,1-4
crescent form,2,1-4
crescent moon finial,2,1-4
crescent shape,2,1-4
cropped figures,2,1-4
cross on dome,2,1-4
cross staff,2,1-4
cross-hatching background,2,1-4
cross-topped staff,2,1-4
crossed swords,2,1-4
crosses on domes,2,1-4
crosses on spires,2,1-4
crowd scene,2,1-4
crowded figurative arrangement,2,1-4
crowded gathering,2,1-4
crowned figure,2,1-4
crucifixion,2,1-4
crucifixion crosses,2,1-4
cubist abstraction,2,1-4
cucumber,2,1-4
cuff,2,1-4
cufflink,2,1-4
cupola,2,1-4
curled hair,2,1-4
curly brown hair,2,1-4
cursive calligraphy,2,1-4
cursive handwriting,2,1-4
cursive signature,2,1-4
curved bands,2,1-4
curved composition,2,1-4
curved horizon,2,1-4
curved shoreline composition,2,1-4
curvilinear composition,2,1-4
curving lines,2,1-4
cushions,2,1-4
cylinders,2,1-4
cyrillic calligraphy,2,1-4
dance floor,2,1-4
dance hall,2,1-4
dancer,2,1-4
dancing couples,2,1-4
dandelions,2,1-4
dappled lighting,2,1-4
dappled sunlight and shadow,2,1-4
dappled sunlight yellow,2,1-4
dark black,2,1-4
dark blue border with white floral pattern,2,1-4
dark blue borders,2,1-4
dark blue ink,2,1-4
dark blue shadows,2,1-4
dark blue water,2,1-4
dark bronze,2,1-4
dark brown branches,2,1-4
dark charcoal grey,2,1-4
dark cloaks,2,1-4
dark clouds,2,1-4
dark fabric,2,1-4
dark green hill,2,1-4
dark green skin tone,2,1-4
dark green vase,2,1-4
dark grey robe,2,1-4
dark grey rocks,2,1-4
dark greys,2,1-4
dark hat,2,1-4
dark landscape,2,1-4
dark red background,2,1-4
dark reflections,2,1-4
dark silhouettes,2,1-4
dark studio setting,2,1-4
dark suit,2,1-4
dark teal,2,1-4
dark teal background,2,1-4
dark vase,2,1-4
dark violet,2,1-4
date,2,1-4
daybed,2,1-4
daylily,2,1-4
daytime setting,2,1-4
dead game,2,1-4
deck chairs,2,1-4
decorative gold brocade border,2,1-4
decorative panel,2,1-4
decorative scrollwork,2,1-4
deep blue sea,2,1-4
deep blue water,2,1-4
deep blue-black,2,1-4
deep orange,2,1-4
deep pink,2,1-4
deep violet,2,1-4
deity figure,2,1-4
delicate branches,2,1-4
delicate outlines,2,1-4
demons,2,1-4
dense floral arrangement,2,1-4
dense foliage patterning,2,1-4
dense green trees,2,1-4
dense grouping,2,1-4
desert valley,2,1-4
detailed animal anatomy,2,1-4
detailed architectural elements,2,1-4
detailed cross-hatching,2,1-4
detailed fabric texture,2,1-4
detailed foreground,2,1-4
detailed oil painting,2,1-4
detailed portraiture,2,1-4
detailed texture strokes,2,1-4
dharmachakra wheel,2,1-4
di sotto in sù perspective,2,1-4
diagonal branch,2,1-4
diagonal hatching,2,1-4
diagonal shoreline composition,2,1-4
diamond shape,2,1-4
diffuse daylighting,2,1-4
digital painting,2,1-4
dimly lit chamber,2,1-4
dimly lit landscape,2,1-4
dimly lit stone chamber,2,1-4
dining area,2,1-4
diptych format,2,1-4
distaff,2,1-4
distant bridge,2,1-4
distant forest line,2,1-4
distant house,2,1-4
distant island,2,1-4
distant islands,2,1-4
distant land,2,1-4
distant medieval town,2,1-4
distant peaks,2,1-4
distant plain,2,1-4
distant soldiers,2,1-4
divided text and image registers,2,1-4
divided text panels,2,1-4
document,2,1-4
domed architecture,2,1-4
domed towers,2,1-4
domestic courtyard,2,1-4
domestic courtyards,2,1-4
dominant green tones,2,1-4
dominant red,2,1-4
doorframe,2,1-4
doorway threshold,2,1-4
dormer windows,2,1-4
dotted pattern,2,1-4
dotted patterns,2,1-4
double bass,2,1-4
double-decker omnibus,2,1-4
double-page spread,2,1-4
dove as holy spirit,2,1-4
dragon head,2,1-4
dragon medallion,2,1-4
dramatic chiaroscuro,2,1-4
draped garment,2,1-4
draped tablecloth,2,1-4
drapery folds,2,1-4
drawing instrument,2,1-4
drawing tool,2,1-4
dreamlike setting,2,1-4
dreamlike space,2,1-4
dress with floral pattern,2,1-4
dressing table,2,1-4
dripping technique,2,1-4
drummer,2,1-4
drummers,2,1-4
drypoint,2,1-4
dull green,2,1-4
dutch household,2,1-4
early spring landscape,2,1-4
earthenware pots,2,1-4
earthy greens and browns,2,1-4
eboshi hat,2,1-4
eight-pointed star,2,1-4
elaborate crown,2,1-4
elderly monk,2,1-4
elephant-headed figure,2,1-4
embroidered borders,2,1-4
embroidered clothing,2,1-4
embroidered dress,2,1-4
embroidered gown,2,1-4
empty space representation,2,1-4
encampment,2,1-4
english countryside,2,1-4
ermine fur,2,1-4
etching style,2,1-4
european city,2,1-4
european city view,2,1-4
explosion,2,1-4
expressive line drawing,2,1-4
expressive washes,2,1-4
eyelashes,2,1-4
faded black ink,2,1-4
faded blues,2,1-4
faded green,2,1-4
faded pigments,2,1-4
fairytale illustration style,2,1-4
fallen branch,2,1-4
fallen branches,2,1-4
fallen figure,2,1-4
fallen figures,2,1-4
fallen soldiers,2,1-4
falling petals,2,1-4
fan-shaped composition,2,1-4
fan-shaped frame,2,1-4
fan-shaped frames,2,1-4
fantasy landscape,2,1-4
farm scene,2,1-4
farmer,2,1-4
farmhouses,2,1-4
female dancers,2,1-4
fenced garden,2,1-4
fiddle,2,1-4
field of wildflowers,2,1-4
fig,2,1-4
figure in boat,2,1-4
figure in dark clothing,2,1-4
figure in red,2,1-4
figure in red robe,2,1-4
figure in window,2,1-4
figure inside pavilion,2,1-4
figure with staff,2,1-4
figures in classical attire,2,1-4
figures in classical drapery,2,1-4
figures in dark clothing,2,1-4
figures in dark robes,2,1-4
figures in renaissance clothing,2,1-4
figures in traditional persian attire,2,1-4
figures in water,2,1-4
figures in white clothing,2,1-4
figures in white robes,2,1-4
figures with animal heads,2,1-4
fine detail brushwork,2,1-4
fine line details on faces,2,1-4
fine line details on feathers,2,1-4
fine-line architectural drawing,2,1-4
firewood,2,1-4
fireworks,2,1-4
fish market,2,1-4
fishing boat,2,1-4
fishing boats,2,1-4
five figures,2,1-4
five-pointed star,2,1-4
flagpole with flag,2,1-4
flame,2,1-4
flame aureole,2,1-4
flaming halo border,2,1-4
flaming mandorla,2,1-4
flat color field,2,1-4
flat colors,2,1-4
flat fields,2,1-4
flat paint application,2,1-4
flat planes of color,2,1-4
floating figures,2,1-4
floral background,2,1-4
floral bouquet,2,1-4
floral close-up,2,1-4
floral garlands,2,1-4
floral hair ornaments,2,1-4
floral headpiece,2,1-4
floral illumination,2,1-4
floral medallion pattern,2,1-4
floral medallions,2,1-4
floral pattern on border,2,1-4
floral patterns on armor,2,1-4
floral patterns on fabric,2,1-4
floral scene,2,1-4
floral wallpaper,2,1-4
floral wreath,2,1-4
flower arrangement,2,1-4
flower blossoms,2,1-4
flower motif,2,1-4
flowering bush,2,1-4
flowering vines,2,1-4
flowing dress,2,1-4
flowing organic lines,2,1-4
fluid linework,2,1-4
flute player,2,1-4
fluted columns,2,1-4
flutes,2,1-4
fly-whisk,2,1-4
flying buttresses,2,1-4
flying carpet,2,1-4
flying celestial figures,2,1-4
flying celestial motif,2,1-4
folding chair,2,1-4
foliage background,2,1-4
foliate borders,2,1-4
foliate scrolls,2,1-4
folk art,2,1-4
food,2,1-4
footed bowl,2,1-4
foreground figure framing,2,1-4
foreground figures,2,1-4
foreground framing with trees,2,1-4
foreground trees,2,1-4
forest grove,2,1-4
forest landscape,2,1-4
four boys,2,1-4
four figures,2,1-4
four-armed deity,2,1-4
four-column text layout,2,1-4
four-leaf clover,2,1-4
fragmented forms,2,1-4
fragmented perspective,2,1-4
framed by foreground trees,2,1-4
framed mirror,2,1-4
framed portraits,2,1-4
french flag,2,1-4
french flags,2,1-4
fresco fragment,2,1-4
fresco paintings,2,1-4
frock coat,2,1-4
frog,2,1-4
front-facing portrait,2,1-4
frontal perspective,2,1-4
fruit trees,2,1-4
full-length portraiture,2,1-4
funeral scene,2,1-4
fur cloak,2,1-4
fur rug,2,1-4
fur stole,2,1-4
fur-trimmed cloak,2,1-4
fur-trimmed collar,2,1-4
fur-trimmed hat,2,1-4
fur-trimmed jacket,2,1-4
gabled roof,2,1-4
gallery,2,1-4
gallery floor,2,1-4
gallery wall,2,1-4
game playing scene,2,1-4
garden at night,2,1-4
garden detail,2,1-4
garden fence,2,1-4
garden patio,2,1-4
garden rockery,2,1-4
garden scenes,2,1-4
gardenia,2,1-4
gat hat,2,1-4
gathering scene,2,1-4
gears,2,1-4
geometric background pattern,2,1-4
geometric carpet pattern,2,1-4
geometric ceiling pattern,2,1-4
geometric circles,2,1-4
geometric frame,2,1-4
geometric lace patterns,2,1-4
geometric lines,2,1-4
geometric mountain peaks,2,1-4
geometric paneling,2,1-4
geometric patterns on fabric,2,1-4
geometric patterns on textiles,2,1-4
geometric pavement patterns,2,1-4
geometric star patterns,2,1-4
geometric textile borders,2,1-4
geometric tilework,2,1-4
geometric triangle pattern,2,1-4
geometric window panes,2,1-4
geraniums,2,1-4
gestural drawing,2,1-4
ghostly figures,2,1-4
gilded arch,2,1-4
gilded mirror,2,1-4
gilded relief,2,1-4
glass bottles,2,1-4
glass cup,2,1-4
glass jars,2,1-4
glass of water,2,1-4
glass of wine,2,1-4
glassware,2,1-4
globe with cross,2,1-4
gloved hand,2,1-4
glowing orb,2,1-4
glowing white,2,1-4
glowing windows,2,1-4
go stones,2,1-4
goatee,2,1-4
goblet,2,1-4
goblets,2,1-4
gold embroidered vest,2,1-4
gold garment,2,1-4
gold highlights,2,1-4
gold leaf detailing,2,1-4
gold leaf flecks,2,1-4
gold leaf gilding,2,1-4
gold leaf patterning,2,1-4
gold rays,2,1-4
gold tones,2,1-4
gold undertones,2,1-4
gold-toned silk background,2,1-4
golden blonde,2,1-4
golden chalice,2,1-4
golden pavilion,2,1-4
golden pheasant,2,1-4
golden sky,2,1-4
golden-brown,2,1-4
goose,2,1-4
gothic architectural details,2,1-4
gothic architectural framing,2,1-4
gothic window tracery,2,1-4
gothic windows,2,1-4
gouache highlights,2,1-4
gouache or tempera texture,2,1-4
gourd bottle,2,1-4
gourd-shaped seal,2,1-4
gradient background,2,1-4
graduated color washes,2,1-4
grape leaves,2,1-4
graphic lines,2,1-4
graphic style,2,1-4
grassy foreground,2,1-4
grassy hilltop,2,1-4
grassy plain,2,1-4
grassy ridge,2,1-4
grassy valley,2,1-4
gravestones,2,1-4
graveyard,2,1-4
gray-blue background,2,1-4
grayish-blue,2,1-4
green bird,2,1-4
green crocodile,2,1-4
green curtain,2,1-4
green domes,2,1-4
green eyes,2,1-4
green garments,2,1-4
green gown,2,1-4
green ground,2,1-4
green hill,2,1-4
green jacket,2,1-4
green lion,2,1-4
green robes,2,1-4
green shrubs,2,1-4
green valley,2,1-4
green vegetation,2,1-4
greenish blue,2,1-4
greenish-grey,2,1-4
grey and white,2,1-4
grey cloak,2,1-4
grey cobblestones,2,1-4
grey rock,2,1-4
grey shadows,2,1-4
grey stone,2,1-4
grey vase,2,1-4
grey-brown,2,1-4
greyish green,2,1-4
greyish-blue water,2,1-4
greyish-brown,2,1-4
grid composition,2,1-4
grid patterns,2,1-4
grid-like arrangement,2,1-4
grotesque faces,2,1-4
grotto,2,1-4
ground level view,2,1-4
group portraiture,2,1-4
grove of trees,2,1-4
guilloche pattern,2,1-4
guitarist,2,1-4
gulls,2,1-4
hair buns,2,1-4
hair flowers,2,1-4
hair knot,2,1-4
hakama,2,1-4
halberds,2,1-4
halftone pattern,2,1-4
halftone texture,2,1-4
halo-like circle,2,1-4
haloed figure,2,1-4
hanbok,2,1-4
hand drum,2,1-4
hand holding object,2,1-4
handbag,2,1-4
hands clasped,2,1-4
hanging figure,2,1-4
hanging iron baskets,2,1-4
hanging meat,2,1-4
harbor at sunset,2,1-4
harbor entrance,2,1-4
harbor town,2,1-4
harbor wall,2,1-4
harlequin pattern,2,1-4
harpsichord,2,1-4
hay harvest,2,1-4
hazy background,2,1-4
hazy grays,2,1-4
hazy white sky,2,1-4
headland,2,1-4
heart,2,1-4
heart motif,2,1-4
heart shape,2,1-4
heart shapes,2,1-4
hearth fire,2,1-4
hearth scene,2,1-4
hearts,2,1-4
heavenly clouds,2,1-4
heavy brushstrokes,2,1-4
heavy impasto,2,1-4
helmet with feathers,2,1-4
heraldic banners,2,1-4
heraldic crest,2,1-4
heraldic flags,2,1-4
heraldic lions,2,1-4
heraldic shields,2,1-4
heron,2,1-4
herringbone brick pattern,2,1-4
hibiscus flower,2,1-4
high altitude overlook,2,1-4
high altitude setting,2,1-4
high altitude view,2,1-4
high level of detail,2,1-4
high relief,2,1-4
high-distance perspective,2,1-4
high-horizon perspective,2,1-4
highland valley,2,1-4
highly detailed realism,2,1-4
hills and fields,2,1-4
hillside city,2,1-4
hillside garden,2,1-4
hillside scene,2,1-4
hillside settlement,2,1-4
hillside view,2,1-4
hilltop,2,1-4
hilltop view,2,1-4
hints of light brown,2,1-4
historic city center,2,1-4
historic site,2,1-4
historic townscape,2,1-4
historical city scene,2,1-4
historical city street,2,1-4
historical european attire,2,1-4
historical ruins,2,1-4
historical site,2,1-4
historical town square,2,1-4
hollyhock,2,1-4
hood,2,1-4
hoods,2,1-4
hookah,2,1-4
hooves,2,1-4
horizontal alignment,2,1-4
horizontal band,2,1-4
horizontal brushstrokes,2,1-4
horizontal handscroll layout,2,1-4
horizontal horizon line,2,1-4
horizontal landscape,2,1-4
horn instrument,2,1-4
horned figure,2,1-4
horned red reptile,2,1-4
horse-drawn sleds,2,1-4
horse-drawn wagon,2,1-4
hounds,2,1-4
house exterior,2,1-4
houses with red roofs,2,1-4
howdahs,2,1-4
human faces,2,1-4
humanoid figure,2,1-4
hunters,2,1-4
hunting horn,2,1-4
hydrangeas,2,1-4
ice,2,1-4
icons,2,1-4
illuminated manuscript style,2,1-4
impasto background,2,1-4
impasto color palette,2,1-4
impasto textures,2,1-4
impasto-like strokes,2,1-4
imperial seal,2,1-4
imperial seal stamp,2,1-4
impressionist brushstrokes,2,1-4
impressionist palette,2,1-4
indoor dining hall,2,1-4
indoor display,2,1-4
indoor hall,2,1-4
indoor or abstract dark background,2,1-4
indoor or garden setting,2,1-4
indoor or neutral background,2,1-4
indoor parlor,2,1-4
indoor performance,2,1-4
indoor studio,2,1-4
indoor tavern,2,1-4
indoor terrace,2,1-4
indoor workspace,2,1-4
indoor-outdoor transition,2,1-4
industrial waterfront,2,1-4
ink and watercolor,2,1-4
ink inscription,2,1-4
ink monochrome,2,1-4
ink rubbing,2,1-4
ink splatters,2,1-4
ink wash grey,2,1-4
inscribed plaque,2,1-4
inscribed text,2,1-4
inscription panel,2,1-4
intaglio printmaking,2,1-4
interior background,2,1-4
interior hallway,2,1-4
interior portraiture,2,1-4
interior still life,2,1-4
interior view,2,1-4
interior view looking out,2,1-4
interior with landscape view,2,1-4
interior with sliding screen,2,1-4
intricate brushwork,2,1-4
intricate line work,2,1-4
intricate linework,2,1-4
ionic capitals,2,1-4
islamic architecture,2,1-4
italian landscape,2,1-4
ivory,2,1-4
japanese calligraphy signature,2,1-4
jars,2,1-4
jeweled brooch,2,1-4
kabuto helmet,2,1-4
katana,2,1-4
katana sword,2,1-4
keyboard instrument,2,1-4
keys,2,1-4
kiosks,2,1-4
kitchen interior,2,1-4
kneeling angel,2,1-4
kneeling angels,2,1-4
kneeling bearded man,2,1-4
kneeling man in red robe,2,1-4
kokoshnik,2,1-4
lace,2,1-4
lace bodice,2,1-4
lace cravat,2,1-4
lake shore,2,1-4
lakeside garden,2,1-4
lakeside path,2,1-4
lakeside retreat,2,1-4
landscape drawing,2,1-4
landscape painting tradition,2,1-4
landscape with figures,2,1-4
large deciduous tree,2,1-4
large green tree,2,1-4
large green trees,2,1-4
large sack,2,1-4
late afternoon,2,1-4
latin cross,2,1-4
latin script,2,1-4
laundry hanging,2,1-4
laundry on a line,2,1-4
laurel wreaths,2,1-4
lavender dress,2,1-4
lavender hills,2,1-4
layered background,2,1-4
layered colors,2,1-4
layered foreground and background,2,1-4
leaded glass windows,2,1-4
leaf patterns,2,1-4
leafy branch,2,1-4
leafy vegetable,2,1-4
leather gloves,2,1-4
leopard print pattern,2,1-4
lettering,2,1-4
light beam,2,1-4
light blue wash,2,1-4
light brown paper,2,1-4
light brown washes,2,1-4
light grey background,2,1-4
light ochre,2,1-4
light orange,2,1-4
light red,2,1-4
light-colored garment,2,1-4
lilac bushes,2,1-4
linear contouring,2,1-4
linear details,2,1-4
linear drapery,2,1-4
linear engraving style,2,1-4
linear patterning,2,1-4
linear perspective along the canal,2,1-4
linear perspective along the path,2,1-4
linear perspective through trees,2,1-4
linear texture strokes,2,1-4
lion head,2,1-4
liquid,2,1-4
lit candle,2,1-4
literati painting style,2,1-4
lithograph print,2,1-4
lithographic print,2,1-4
liturgical vestments,2,1-4
lizard,2,1-4
log walls,2,1-4
long black hair,2,1-4
long coat,2,1-4
long dresses,2,1-4
long skirts,2,1-4
long sleeves,2,1-4
long table,2,1-4
loose impasto,2,1-4
loose impasto strokes,2,1-4
loose sketch-like lines,2,1-4
loquat fruit,2,1-4
loquats,2,1-4
lotus pattern,2,1-4
low contrast,2,1-4
luminous sky,2,1-4
magenta pink,2,1-4
magnolia,2,1-4
magnolia tree,2,1-4
maidservant,2,1-4
mallard duck,2,1-4
mallet,2,1-4
mallow flowers,2,1-4
man fishing,2,1-4
man in black coat,2,1-4
man in dark suit,2,1-4
man in gold robe,2,1-4
man in hat,2,1-4
man in red cloak,2,1-4
man in tuxedo,2,1-4
man in white shirt,2,1-4
man smoking pipe,2,1-4
man standing,2,1-4
man with crown,2,1-4
man with glasses,2,1-4
man with hat,2,1-4
mandala,2,1-4
maple leaf motif,2,1-4
maple leaf pattern,2,1-4
maple trees,2,1-4
marble statue,2,1-4
marina,2,1-4
market stall,2,1-4
mask,2,1-4
masted ships,2,1-4
matte finish,2,1-4
medallions,2,1-4
medals,2,1-4
medieval armor,2,1-4
medieval buildings,2,1-4
medieval interior,2,1-4
medieval settlement,2,1-4
medieval village,2,1-4
mediterranean setting,2,1-4
mediterranean terrace,2,1-4
mediterranean village,2,1-4
medium close-up,2,1-4
medium shot,2,1-4
men in 18th-century attire,2,1-4
men in turbans,2,1-4
mermaid,2,1-4
metal chain,2,1-4
metal corner guards,2,1-4
metal mug,2,1-4
military cap,2,1-4
military gathering,2,1-4
miniature painting style,2,1-4
minimal background,2,1-4
minimal shading,2,1-4
minimalist color palette,2,1-4
misty sky,2,1-4
misty water scene,2,1-4
misty wilderness,2,1-4
miter,2,1-4
mixed media appearance,2,1-4
model,2,1-4
modernist painting,2,1-4
monastery interior,2,1-4
monastic cell,2,1-4
monastic gathering,2,1-4
monastic setting,2,1-4
monochromatic brown background,2,1-4
monochromatic grey,2,1-4
monochromatic panels,2,1-4
monochromatic scheme,2,1-4
monochromatic warm tones,2,1-4
monochromatic washes,2,1-4
monochromatic white,2,1-4
monochrome grey,2,1-4
monogram seal,2,1-4
monumental scale,2,1-4
moon gate,2,1-4
moonlit landscape,2,1-4
moonlit night,2,1-4
morning glories,2,1-4
morning glory,2,1-4
morning glory flowers,2,1-4
mosaic pattern,2,1-4
mosque,2,1-4
moss dots,2,1-4
mossy rock,2,1-4
mossy rocks,2,1-4
moths,2,1-4
mountain and water scene,2,1-4
mountain cliffs,2,1-4
mountain lake,2,1-4
mountain ranges,2,1-4
mountain river landscape,2,1-4
mountain slope,2,1-4
mountainous riverbank,2,1-4
muddy road,2,1-4
multi-figure composition,2,1-4
multi-layered perspective,2,1-4
multi-panel narrative layout,2,1-4
multi-story pavilion,2,1-4
multicolor palette,2,1-4
multiple heads,2,1-4
muscular man,2,1-4
museum interior,2,1-4
music stand,2,1-4
musical gathering,2,1-4
musician,2,1-4
musicians with instruments,2,1-4
muted background,2,1-4
muted blue-grey water,2,1-4
muted flesh tones,2,1-4
muted gold background,2,1-4
muted gray,2,1-4
muted green washes,2,1-4
muted grey-blue background,2,1-4
muted grey-green,2,1-4
muted lighting,2,1-4
muted palette,2,1-4
muted pastel tones,2,1-4
muted pastels,2,1-4
mythological battle,2,1-4
mythological scenes,2,1-4
narcissus bulb,2,1-4
narrative panels,2,1-4
narrative procession,2,1-4
national flags,2,1-4
natural arch,2,1-4
natural framing,2,1-4
naturalistic composition,2,1-4
nautilus shell cup,2,1-4
naval uniform,2,1-4
neck scarf,2,1-4
needlework,2,1-4
nemes headdress,2,1-4
netting,2,1-4
neutral palette,2,1-4
neutral studio background,2,1-4
nightcap,2,1-4
nighttime procession,2,1-4
nineteenth-century interior,2,1-4
nineteenth-century parlor,2,1-4
nocturnal seascape,2,1-4
nude man,2,1-4
nymphs,2,1-4
oak leaf garland,2,1-4
oak leaves,2,1-4
oars,2,1-4
ocean at night,2,1-4
ocean blue,2,1-4
ochre highlights,2,1-4
octagonal frame,2,1-4
offering bowl,2,1-4
oil on canvas style,2,1-4
ointment jar,2,1-4
old town,2,1-4
old town alleyway,2,1-4
old town street,2,1-4
older man,2,1-4
olive green foliage,2,1-4
olive grove,2,1-4
onboard a ship,2,1-4
onions,2,1-4
open countryside,2,1-4
open mouth,2,1-4
open window,2,1-4
opera house,2,1-4
orange background,2,1-4
orange blossoms,2,1-4
orange border,2,1-4
orange garments,2,1-4
orange robes,2,1-4
orchestra pit,2,1-4
orchid flowers,2,1-4
organic lines,2,1-4
oriental rug patterns,2,1-4
ornate borders,2,1-4
ornate canopy,2,1-4
orthodox church architecture,2,1-4
outdoor archaeological site,2,1-4
outdoor architectural scene,2,1-4
outdoor architectural setting,2,1-4
outdoor banquet,2,1-4
outdoor battle,2,1-4
outdoor campsite,2,1-4
outdoor clearing,2,1-4
outdoor court,2,1-4
outdoor court scene,2,1-4
outdoor domestic setting,2,1-4
outdoor grassy field,2,1-4
outdoor ground,2,1-4
outdoor ground line,2,1-4
outdoor hill,2,1-4
outdoor landscape setting,2,1-4
outdoor landscapes,2,1-4
outdoor laundry scene,2,1-4
outdoor leisure,2,1-4
outdoor meadow,2,1-4
outdoor monument,2,1-4
outdoor natural scene,2,1-4
outdoor painting scene,2,1-4
outdoor patio,2,1-4
outdoor pavilion,2,1-4
outdoor plaza,2,1-4
outdoor pool,2,1-4
outdoor procession,2,1-4
outdoor public gathering,2,1-4
outdoor public square,2,1-4
outdoor rocky landscape,2,1-4
outdoor stage,2,1-4
outdoor workshop,2,1-4
outlined forms,2,1-4
oval canvas,2,1-4
over-the-shoulder perspective,2,1-4
overgrown garden,2,1-4
overgrown vegetation,2,1-4
overlapping brushstrokes,2,1-4
overlapping composition,2,1-4
overlapping mountain forms,2,1-4
overlapping mountain peaks,2,1-4
overturned chair,2,1-4
paintbox,2,1-4
painted figures,2,1-4
painter,2,1-4
painterly texture,2,1-4
paintings on wall,2,1-4
paisley pattern,2,1-4
palace hall,2,1-4
pale blue washes,2,1-4
pale blue-grey background,2,1-4
pale blue-grey water,2,1-4
pale gold,2,1-4
pale gold background,2,1-4
pale marble white,2,1-4
pale ochre background,2,1-4
pale orange sky,2,1-4
pale pink skin tones,2,1-4
pale reddish-brown wash,2,1-4
pale yellow highlights,2,1-4
pale yellow light,2,1-4
palm branches,2,1-4
palm frond,2,1-4
palm leaves,2,1-4
panoramic format,2,1-4
paper document,2,1-4
paper lantern,2,1-4
parade,2,1-4
parisian street scene,2,1-4
park scene,2,1-4
parrots,2,1-4
pastel-like texture,2,1-4
paths,2,1-4
patterned armor details,2,1-4
patterned backdrop,2,1-4
patterned blouse,2,1-4
patterned blue border,2,1-4
patterned cloak,2,1-4
patterned cuffs,2,1-4
patterned details,2,1-4
patterned drapery,2,1-4
patterned mat,2,1-4
patterned paper,2,1-4
patterned pine needles,2,1-4
patterned scales,2,1-4
patterned scarf,2,1-4
patterned screen,2,1-4
patterned silk borders,2,1-4
patterned sleeves,2,1-4
patterned snow,2,1-4
patterned textile details,2,1-4
patterned upholstery,2,1-4
patterning,2,1-4
paved plaza,2,1-4
pavilion interior,2,1-4
pavilion roof,2,1-4
peach tree,2,1-4
peacock feather halo,2,1-4
peacocks,2,1-4
peaks,2,1-4
peasant,2,1-4
peasant clothing,2,1-4
peasants,2,1-4
pedestal bowl,2,1-4
peony leaves,2,1-4
people walking,2,1-4
perched bird,2,1-4
persian armor,2,1-4
persian miniature style,2,1-4
persian script,2,1-4
pianist,2,1-4
piano bench,2,1-4
piano keys,2,1-4
picture frames,2,1-4
pier,2,1-4
pilasters,2,1-4
pine and bamboo,2,1-4
pink background,2,1-4
pink blanket,2,1-4
pink gown,2,1-4
pink lotus flowers,2,1-4
pink peony,2,1-4
pink ribbon,2,1-4
pink skirt,2,1-4
pinkish-brown,2,1-4
pinkish-orange,2,1-4
plain,2,1-4
plain dark background,2,1-4
platter,2,1-4
plaza,2,1-4
plein air painting style,2,1-4
plum branch,2,1-4
plum trees,2,1-4
plume,2,1-4
pocket watch chain,2,1-4
pointe shoes,2,1-4
pointed arch,2,1-4
pointillist background,2,1-4
pointillist technique,2,1-4
pointillist-like dabs,2,1-4
pole weapon,2,1-4
poppy field,2,1-4
portrait painting,2,1-4
portrait sketch,2,1-4
portraits,2,1-4
post-impressionist brushwork,2,1-4
pot,2,1-4
pottery,2,1-4
power lines,2,1-4
preliminary study,2,1-4
